EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
21414,Tcf7,2238,-1.68857025909465,2.13020485441293,-3.91706081930316,0.00188137487930066,0.115047608424217,-1.42724620530262
18972,Pold2,1610,-0.825864675896633,4.44974070782157,-3.91387067636822,0.00189254145129115,0.115047608424217,-1.56868811792393
12493,Cd37,1226,0.582102635916639,9.46725478010719,3.91192299619175,0.00189939240492379,0.115047608424217,-1.710787117062
12504,Cd4,3095,-1.6957595664536,0.877338632120656,-3.90574749904317,0.00192128343306325,0.115047608424217,-1.34960680735033
76866,Morn1,1661,1.67714555329282,0.63447925716357,3.90525955979689,0.00192302408825505,0.115047608424217,-1.1240041484774
215705,Arrdc1,1772,0.67238597091604,5.18006685913165,3.90525726842477,0.0019230322662215,0.115047608424217,-1.64449980444295
15024,H2-T10,2897,0.893086623585299,4.13212642561372,3.90235615341401,0.00193341509808363,0.115047608424217,-1.55928814967143
241794,Kcng1,2316,1.73097027283592,0.857511608821528,3.90129324457219,0.0019372335355528,0.115047608424217,-1.10036543904126
15505,Hsph1,3478,-1.03323080949893,5.12670709334964,-3.90065175638737,0.00193954178709248,0.115047608424217,-1.6871890390942
100049164,B130046B21Rik,2467,1.51412395740163,0.306539763070445,3.89873936315326,0.00194643986470662,0.115047608424217,-1.12513310976747
16336,Insl3,587,1.85741717727328,3.35802626879702,3.89717726746544,0.00195209307840376,0.115047608424217,-1.13143269813677
54645,Gripap1,2922,0.758249425860428,5.48593711247415,3.89647786245023,0.00195462967684284,0.115047608424217,-1.69340777476013
320466,A230103J11Rik,2125,2.13169460412735,-0.926910099414408,3.89073593327117,0.00197558272430703,0.115415601315736,-1.12876782943788
74103,Nebl,2980,-1.81957176193047,0.277725467472079,-3.88493751432048,0.00199697577726727,0.115415601315736,-1.12868632171368
19280,Ptprs,6977,1.44987190527893,1.33431113609899,3.88472197204666,0.0019977755772498,0.115415601315736,-1.43565254803673
54712,Plxnc1,7045,0.663101294938043,4.48717159190622,3.88384693536908,0.00200102589955896,0.115415601315736,-1.72521124309058
380912,Zfp395,4229,-0.953533165104194,1.9551693718994,-3.88119952398555,0.00201089276857596,0.115415601315736,-1.34441762305116
110557,H2-Q6,981,0.795962626571102,8.16385180109769,3.88071305354191,0.00201271125713393,0.115415601315736,-1.73785258105577
66237,Atp6v1g2,1494,1.62556893997945,1.22236555726606,3.87316324873785,0.00204115055106196,0.116546207319397,-1.18038748682558
108072,Grm6,4332,1.43467913145179,1.37710813039655,3.85807740119926,0.00209921787709187,0.118928708999015,-1.45269916825707
108077,Skiv2l,3963,0.692054170708074,4.93804431285094,3.85770328058807,0.00210067923985985,0.118928708999015,-1.77411345682992
70316,Ndufab1,800,1.13792876712986,2.73817285036536,3.85162074550233,0.00212458521340148,0.119428385839538,-1.33294569382105
106205,Zc3h7a,3823,1.14032442325113,5.53835747124065,3.85091363676559,0.00212738236882046,0.119428385839538,-1.79872558211115
20708,Serpinb6b,1859,0.932941048155747,3.06047289674883,3.84854160432903,0.00213679316214998,0.119454784265631,-1.64663153316319
17207,Mcf2l,5512,4.90920547192094,-3.67851536882501,3.84441111471004,0.00215328239031551,0.119619704690063,-1.46120145670485
215772,Adgb,5218,2.11119189694908,-4.51526186420876,3.84332271201155,0.00215764904051383,0.119619704690063,-1.1899476726894
52609,Cbx7,2893,0.737584455586635,5.27508336948273,3.8392722008471,0.00217397947331071,0.119784996816543,-1.79030094098822
70772,Ggnbp1,1784,1.43110183751976,0.919621656941006,3.83814140905786,0.00217856105279694,0.119784996816543,-1.26956340342514
100502778,Gm19365,1197,2.15331412176939,0.233849973314224,3.83471240794213,0.00219251475139284,0.120058154071146,-1.21933690300274
225372,Apbb3,2062,1.0132038322801,3.60837208786676,3.82819543927473,0.00221928724423684,0.12102815049081,-1.62002880117367
66826,Taz,1854,0.825409760593905,4.87383952833778,3.82096334845946,0.00224938977257945,0.122171125005829,-1.74331227509364
66805,Tspan1,1971,1.95210576428953,-2.38244737278421,3.81508342368957,0.00227417208371081,0.122674127266383,-1.23774953613672
76166,Rsg1,951,-2.40772129440298,-0.369443914709377,-3.81441334769093,0.00227701396318113,0.122674127266383,-1.39548777303103
108672,Zdhhc15,5509,-3.31848492453481,-4.12615265796929,-3.80955800183827,0.00229771503129885,0.123292251137285,-1.48672544424633
434428,Gm5620,1515,-0.669282361144606,4.55495794291161,-3.80506954649039,0.00231702320210152,0.123535653035057,-1.82200098383746
68607,Serhl,1367,0.81042373094955,3.78181224931818,3.8024544250121,0.00232834926579374,0.123535653035057,-1.70089926285704
14450,Gart,3329,-0.57322666400821,5.14279848417689,-3.80207687285007,0.00232998911494906,0.123535653035057,-1.87733301416054
19025,Ctsa,3674,0.532300063605418,5.75198961855041,3.79553989777506,0.00235856977918268,0.124411263951562,-1.89801603576496
78777,Enthd2,2779,0.795107487125418,3.20755547031784,3.79405157634148,0.00236512693987702,0.124411263951562,-1.73797499285019
56325,Abcb9,3334,-3.06384905185368,-0.791106603480784,-3.78988831935118,0.0023835684256746,0.124856522859046,-1.34797221488091
12747,Clk1,3088,1.04619704789743,6.2678847771475,3.78621231338561,0.00239997387871838,0.124856522859046,-1.92313077815176
234373,Sugp2,4337,0.825164046993917,3.84855184510372,3.78126120303968,0.00242225267842346,0.124856522859046,-1.88305641698248
72119,Tpx2,4365,-0.556784570519814,3.09962176061475,-3.78010645179928,0.00242747913644251,0.124856522859046,-1.92885035758627
17220,Mcm7,2396,-0.619719656433985,5.8112551369965,-3.7746319455328,0.00245241442627226,0.124856522859046,-1.9520230734251
