symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Cxcl16,11,0.5042590968901575,4.758305399571486,4.474536250435388,3.90845665974297e-4,0.025236633768825525,-0.27746233543154997
Rdm1,11,-0.4609824737313124,4.708221534663577,-4.469004658124148,3.953256878622052e-4,0.025275651699935012,-0.27900147318098956
Gm3435,17,1.093836231428543,1.7150952093091285,4.192226401100211,7.014498263195843e-4,0.03587847092033858,-0.28005685730511587
Trat1,16,0.6577930811615613,3.149148934026018,4.301553031864659,5.588815995004345e-4,0.03116133518627493,-0.29933580289848205
1110008P14Rik,2,-0.4013003578426293,5.7180751916049966,-4.523085621573598,3.536823116890159e-4,0.024027531845615006,-0.30638614434082
A430035B10Rik,6,-1.1057652356599421,2.0995594696491544,-4.192781134948916,7.00640116954273e-4,0.03587847092033858,-0.3170496811966341
Tgtp2,11,0.7443617552665915,2.9331385640193584,4.268892919489458,5.980800045913283e-4,0.03277629201632225,-0.3199363306756524
Polm,11,-0.5745623102077384,3.794817298378538,-4.34528511796734,5.104524041334316e-4,0.029920018036360418,-0.35342554048117414
Btg3,16,-0.47537746656851265,4.859581401954406,-4.445362105523418,4.1507226375262976e-4,0.026280522020026943,-0.3544948336563314
Iba57,11,-0.47318686474655003,4.832149818002341,-4.434297143515559,4.246567807496687e-4,0.02656965935739239,-0.37281826043243793
